match_id,player,minutes,goals,xg,assists,xa,actions,actions_pct,shots,shots_on_target,passes,passes_pct,passes_prog,passes_prog_pct,passes_long,passes_long_pct,passes_tiers,passes_tiers_pct,centres,centres_pct,dribbles,dribbles_pct,duels_total,duels_gagnes,duels_def,duels_def_gagnes,duels_off,duels_off_gagnes,duels_air,duels_air_gagnes,interceptions,fautes_commises,fautes_subies,recuperations,recuperations_adv,pertes,touches_surface,hors_jeu,cartons_jaunes,cartons_rouges
FBBP_ROU_20260306,Player_68,11,1,0.32,0,0,12,25,1,1,1,100,1,0,0,0,0,0,1,100,0,0,3,1,0,0,0,0,3,1,1,0,0,4,0,1,1,0,0,0
FBBP_SBR_20260321,Player_52,98,0,0.01,0,0,101,72,2,0,71,89,19,89,13,62,14,79,1,0,1,0,3,1,3,1,1,0,9,4,8,0,0,13,2,15,0,0,0,1
FBBP_SBR_20260321,Player_59,72,0,0,0,0,67,82,0,0,45,96,11,100,6,67,6,83,0,0,0,0,2,1,2,1,0,0,11,6,1,2,1,6,2,1,0,0,1,0
FBBP_SBR_20260321,Player_55,101,0,0.03,0,0,91,79,1,0,77,90,20,95,5,40,20,95,2,0,0,0,5,3,5,3,1,0,2,0,2,2,0,9,2,8,0,0,0,0
FBBP_SBR_20260321,Player_61,101,0,0.07,0,0,81,70,1,1,54,80,11,91,4,75,8,88,8,25,1,0,6,5,6,5,3,1,6,3,4,0,4,16,6,13,3,2,0,0
FBBP_SBR_20260321,Player_33,101,0,0.05,0,0.25,106,69,5,1,76,80,13,77,12,58,18,72,0,0,2,100,4,2,4,2,3,2,4,1,0,3,1,15,10,3,1,0,0,0
FBBP_SBR_20260321,Player_65,47,0,0,0,0.23,49,86,1,0,43,93,8,100,8,100,10,70,0,0,0,0,3,2,3,2,1,0,0,0,0,0,0,6,4,1,0,0,0,0
FBBP_SBR_20260321,Player_43,101,0,0,0,0.05,83,75,1,0,61,92,5,80,3,50,3,100,0,0,1,0,3,1,3,1,6,2,4,1,3,1,2,9,1,8,0,0,0,0
FBBP_SBR_20260321,Player_15,79,0,0,0,0.16,59,59,0,0,38,71,8,100,1,100,2,100,12,50,6,50,2,2,2,2,6,1,5,2,3,1,0,16,4,4,1,0,0,0
FBBP_SBR_20260321,Player_68,101,0,0.40,1,0.23,62,52,6,1,22,77,2,100,0,0,0,0,4,50,2,50,4,4,4,4,12,5,8,4,2,2,1,26,1,13,9,0,0,0
FBBP_SBR_20260321,Player_11,79,0,0.20,0,0.01,38,34,3,1,13,69,3,33,1,100,3,33,0,0,1,100,5,1,5,1,2,0,5,1,0,3,0,6,1,2,0,1,0,1
FBBP_SBR_20260321,Player_05,54,1,0.23,0,0,18,44,1,1,6,83,2,100,0,0,2,100,0,0,0,0,0,0,0,0,1,1,4,1,1,1,0,3,0,1,4,0,0,0
FBBP_SBR_20260321,Player_21,29,0,0,0,0,6,83,0,0,5,100,2,100,4,100,1,100,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
FBBP_SBR_20260321,Player_50,22,0,0,0,0,18,94,0,0,17,94,6,83,1,100,1,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
FBBP_SBR_20260321,Player_16,22,0,0.14,0,0,2,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
QRM_FBBP_20260228,Player_61,86,0,0.01,0,0.09,61,57,1,0,35,71,6,100,4,100,6,67,8,25,1,100,8,6,8,6,3,2,5,1,7,2,1,17,3,7,0,0,1,0
QRM_FBBP_20260228,Player_52,97,0,0.06,0,0,100,75,1,0,64,88,12,67,8,50,8,75,0,0,2,50,5,2,5,2,2,1,9,7,7,2,2,21,7,19,1,0,1,0
QRM_FBBP_20260228,Player_59,97,0,0,0,0,84,85,0,0,66,89,14,86,13,77,9,56,0,0,0,0,5,3,5,3,1,1,5,4,6,2,2,12,0,12,0,0,0,0
QRM_FBBP_20260228,Player_50,86,0,0,0,0,66,71,0,0,51,78,8,63,6,50,11,45,0,0,0,0,2,1,2,1,2,1,4,2,4,1,3,10,0,5,0,0,0,0
QRM_FBBP_20260228,Player_15,97,0,0,0,0,46,59,0,0,31,71,5,80,2,100,5,40,7,29,0,0,3,1,3,1,1,0,6,2,2,2,1,14,0,4,0,0,0,0
QRM_FBBP_20260228,Player_33,97,1,0.80,0,0,73,70,3,2,49,84,4,75,5,40,6,83,2,50,2,50,5,2,5,2,5,3,5,2,4,1,1,15,5,9,0,0,0,0
QRM_FBBP_20260228,Player_65,67,0,0,0,0.06,48,73,0,0,33,88,2,50,2,100,4,75,0,0,1,100,2,0,2,0,2,2,4,2,4,0,1,10,5,3,0,0,0,0
QRM_FBBP_20260228,Player_43,97,0,0.06,1,0.37,60,67,1,0,36,92,3,33,1,100,4,100,1,100,2,50,5,2,5,2,4,2,7,2,1,2,2,19,6,7,1,0,0,0
QRM_FBBP_20260228,Player_05,67,0,0,0,0.03,46,48,0,0,16,81,0,0,0,0,0,0,0,0,1,0,1,0,1,0,6,1,16,6,1,3,1,25,2,5,0,0,0,1
QRM_FBBP_20260228,Player_11,97,1,0.37,0,0,51,63,1,1,31,77,5,100,2,50,4,100,3,33,3,33,1,1,1,1,4,3,6,2,2,1,1,14,2,3,1,0,0,0
QRM_FBBP_20260228,Player_16,31,0,0.09,0,0.01,19,37,1,0,5,80,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,6,2,1,0,0,9,1,2,2,0,0,0
QRM_FBBP_20260228,Player_68,31,0,0.24,0,0,14,43,3,1,3,67,1,100,0,0,1,100,0,0,1,100,1,1,1,1,1,1,3,1,0,0,0,5,1,1,2,0,0,0
QRM_FBBP_20260228,Player_21,11,0,0,0,0,10,50,0,0,5,80,1,100,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,3,0,1,0,0,0,0
QRM_FBBP_20260228,Player_64,11,0,0,0,0.10,16,44,0,0,8,75,3,100,1,0,2,50,1,100,0,0,4,1,3,0,0,0,1,1,1,0,0,3,2,0,0,0,0,0
VER_FBBP_20260313,Player_61,97,0,0.12,0,0.11,72,64,2,0,47,77,8,63,11,45,7,57,3,33,1,0,10,6,10,6,1,1,1,0,8,1,1,14,3,12,1,0,0,0
VER_FBBP_20260313,Player_64,81,0,0,0,0,47,77,0,0,34,82,4,75,7,43,1,100,1,0,1,100,5,3,5,3,1,1,1,1,8,0,0,7,0,5,0,0,0,0
VER_FBBP_20260313,Player_59,97,0,0,0,0,63,73,0,0,35,83,7,43,7,57,5,60,0,0,0,0,5,4,5,4,0,0,8,3,7,1,0,9,0,8,0,0,0,0
VER_FBBP_20260313,Player_50,92,0,0,0,0,51,76,0,0,37,89,9,67,2,100,2,100,0,0,0,0,2,1,2,1,1,1,3,0,7,0,0,6,1,8,0,0,0,0
VER_FBBP_20260313,Player_15,97,0,0,0,0,49,53,0,0,24,67,6,17,14,100,3,67,4,25,1,100,8,4,8,4,3,3,7,3,5,0,1,18,0,10,1,0,0,0
VER_FBBP_20260313,Player_33,97,0,0.02,0,0.13,76,58,1,0,49,71,10,90,8,50,9,89,1,0,2,50,7,1,7,1,5,3,5,3,1,4,1,18,4,8,0,0,1,0
VER_FBBP_20260313,Player_65,74,0,0,0,0.06,51,59,1,0,34,68,5,40,5,40,2,100,0,0,2,0,6,3,6,3,3,2,0,0,7,1,1,9,4,5,0,0,0,0
VER_FBBP_20260313,Player_43,97,0,0,0,0,51,78,1,0,32,94,5,100,1,100,6,83,0,0,0,0,9,5,9,5,2,2,2,1,0,1,2,16,2,6,1,0,0,0
VER_FBBP_20260313,Player_11,97,0,0.19,0,0,55,44,4,0,19,58,0,0,0,0,1,0,1,0,1,0,7,4,7,4,8,3,10,5,1,3,0,26,0,3,7,0,0,0
VER_FBBP_20260313,Player_68,97,0,0.02,0,0,54,44,1,0,10,70,5,60,7,71,2,100,2,50,2,50,5,1,5,1,16,9,10,4,3,4,5,35,1,14,2,0,0,0
VER_FBBP_20260313,Player_16,23,0,0.05,0,0,7,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,1,1,1,0,0,5,4,1,1,0,0,0
VER_FBBP_20260313,Player_12,16,0,0,0,0.02,18,56,0,0,6,67,3,100,0,0,1,100,0,0,1,0,4,4,4,4,3,0,2,1,0,0,1,5,1,3,0,0,0,0
VER_FBBP_20260313,Player_45,5,0,0,0,0,2,50,0,0,1,100,0,0,1,100,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
